time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.0,0,0,0,128,0
0.0,0,0,0,124,4
132.0,0,0,0,128,0
256.0,0,0,0,128,0
256.0,0,0,0,127,1
297.0,0,0,0,127,1
297.0,0,0,0,123,5
321.0,0,0,0,127,1
328.0,0,0,0,127,1
328.0,0,0,0,126,2
337.0,0,0,0,127,1
367.0,0,0,0,128,0
455.0,0,0,0,128,0
455.0,0,0,0,127,1
490.0,0,0,0,127,1
490.0,0,0,0,111,17
494.0,0,0,0,111,17
494.0,0,0,0,79,49
571.0,0,0,0,80,48
576.0,0,0,0,80,48
576.0,0,0,0,72,56
729.0,0,0,0,80,48
871.0,0,0,0,80,48
871.0,0,0,0,72,56
1016.0,0,0,0,80,48
1249.0,0,0,0,112,16
1300.0,0,0,0,112,16
1300.0,0,0,0,108,20
1307.0,0,0,0,108,20
1307.0,0,0,0,107,21
1316.0,0,0,0,107,21
1316.0,0,0,0,91,37
1326.0,0,0,0,91,37
1326.0,0,0,0,90,38
1343.0,0,0,0,90,38
1343.0,0,0,0,88,40
1360.0,0,0,0,89,39
1375.0,0,0,0,90,38
1500.0,0,0,0,94,34
1506.0,0,0,0,110,18
1535.0,0,0,0,110,18
1535.0,0,0,0,78,50
1611.0,0,0,0,94,34
1651.0,0,0,0,94,34
1651.0,0,0,0,62,66
1681.0,0,0,0,64,64
1795.0,0,0,0,64,64
1795.0,0,0,0,60,68
1817.0,0,0,0,60,68
1817.0,0,0,0,58,70
1833.0,0,0,0,62,66
1845.0,0,0,0,64,64
1875.0,0,0,0,96,32
1906.0,0,0,0,96,32
1906.0,0,0,0,92,36
1924.0,0,0,0,92,36
1924.0,0,0,0,60,68
1927.0,0,0,0,60,68
1927.0,0,0,0,58,70
2030.0,0,0,0,58,70
2030.0,0,0,0,57,71
2184.0,0,0,0,58,70
2316.0,0,0,0,90,38
2349.0,0,0,0,90,38
2349.0,0,0,0,89,39
2426.0,0,0,0,90,38
2800.0,0,0,0,90,38
2800.0,0,0,0,58,70
2846.0,0,0,0,58,70
2846.0,0,0,0,50,78
2889.0,0,0,0,50,78
2889.0,0,0,0,18,110
2934.0,0,0,0,22,106
2938.0,0,0,0,24,104
2953.0,0,0,0,24,104
2953.0,0,0,0,23,105
2972.0,0,0,0,24,104
3168.0,0,0,0,56,72
3239.0,0,0,0,56,72
3239.0,0,0,0,24,104
3252.0,0,0,0,24,104
3252.0,0,0,0,8,120
3260.0,0,0,0,24,104
3267.0,0,0,0,24,104
3267.0,0,0,0,8,120
3300.0,0,0,0,8,120
3300.0,0,0,8,0,120
3947.0,0,0,8,32,88
3968.0,0,0,8,32,88
3968.0,0,0,8,16,104
4054.0,0,0,8,32,88
4150.0,0,0,8,32,88
4150.0,0,0,8,30,90
4161.0,0,0,8,30,90
4175.0,0,0,8,32,88
4175.0,0,0,8,0,120
4297.0,0,0,8,0,120
4393.0,0,0,8,16,104
4393.0,0,0,8,12,108
4434.0,0,0,8,16,104
5044.0,0,0,8,16,104
5051.0,0,0,8,48,72
5051.0,0,0,8,16,104
5100.0,8,0,0,16,104
5104.0,8,0,0,48,72
5107.0,8,0,0,80,40
5113.0,8,0,0,88,32
5114.0,8,0,0,88,32
5114.0,8,0,0,56,64
5175.0,8,0,0,56,64
5175.0,8,0,0,48,72
5253.0,8,0,0,56,64
5274.0,8,0,0,56,64
5274.0,8,0,0,48,72
5277.0,8,0,0,80,40
5350.0,8,0,0,88,32
5450.0,8,0,0,88,32
5450.0,8,0,0,80,40
5519.0,8,0,0,88,32
5587.0,8,0,0,88,32
5587.0,8,0,0,80,40
5629.0,8,0,0,88,32
5731.0,8,0,0,88,32
5731.0,8,0,0,80,40
5815.0,8,0,0,80,40
5815.0,8,0,0,48,72
5818.0,8,0,0,56,64
5951.0,8,0,0,56,64
6041.0,8,0,0,88,32
6193.0,8,0,0,88,32
6193.0,8,0,0,84,36
6238.0,8,0,0,88,32
6675.0,8,0,0,88,32
6675.0,8,0,0,56,64
6791.0,8,0,0,88,32
6928.0,8,0,0,88,32
6928.0,8,0,0,80,40
6935.0,8,0,0,80,40
6935.0,8,0,0,48,72
7007.0,8,0,0,48,72
7007.0,8,0,0,40,80
7014.0,8,0,0,48,72
7067.0,8,0,0,48,72
7067.0,8,0,0,40,80
7099.0,8,0,0,48,72
7125.0,8,0,0,48,72
7125.0,8,0,0,16,104
7161.0,8,0,0,16,104
7161.0,8,0,0,8,112
7168.0,8,0,0,8,112
7168.0,8,0,0,0,120
7196.0,8,0,0,8,112
7217.0,8,0,0,40,80
7224.0,8,0,0,40,80
7224.0,8,0,0,32,88
7234.0,8,0,0,40,80
7247.0,8,0,0,40,80
7267.0,8,0,0,40,80
7267.0,8,0,0,32,88
7321.0,8,0,0,40,80
7326.0,8,0,0,48,72
7385.0,8,0,0,48,72
7385.0,8,0,0,40,80
7388.0,8,0,0,40,80
7388.0,8,0,0,32,88
7404.0,8,0,0,40,80
7451.0,8,0,0,40,80
7451.0,8,0,0,32,88
7475.0,8,0,0,40,80
7503.0,8,0,0,48,72
7556.0,8,0,0,48,72
7556.0,8,0,0,40,80
7558.0,8,0,0,40,80
7558.0,8,0,0,32,88
7619.0,8,0,0,40,80
7664.0,8,0,0,48,72
7693.0,8,0,0,48,72
7698.0,8,0,0,48,72
7698.0,8,0,0,40,80
7797.0,8,0,0,48,72
7822.0,8,0,0,48,72
7822.0,8,0,0,47,73
7877.0,8,0,0,48,72
7892.0,8,0,0,48,72
7892.0,8,0,0,47,73
7917.0,8,0,0,48,72
7923.0,8,0,0,48,72
7923.0,8,0,0,44,76
7945.0,8,0,0,44,76
7945.0,8,0,0,42,78
8010.0,8,0,0,42,78
8010.0,8,0,0,41,79
8013.0,8,0,0,42,78
8045.0,8,0,0,46,74
8047.0,8,0,0,48,72
8466.0,8,0,0,48,72
8466.0,8,0,0,40,80
8549.0,8,0,0,48,72
8651.0,8,0,0,80,40
8772.0,8,0,0,80,40
8772.0,8,0,0,76,44
8795.0,8,0,0,76,44
8795.0,8,0,0,74,46
8811.0,8,0,0,80,40
8831.0,8,0,0,80,40
8831.0,8,0,0,76,44
8852.0,8,0,0,76,44
8852.0,8,0,0,74,46
8928.0,8,0,0,80,40
9003.0,8,0,0,80,40
9003.0,8,0,0,78,42
9023.0,8,0,0,80,40
9047.0,8,0,0,80,40
9047.0,8,0,0,76,44
9085.0,8,0,0,80,40
9098.0,8,0,0,80,40
9098.0,8,0,0,76,44
9121.0,8,0,0,76,44
9121.0,8,0,0,74,46
9137.0,8,0,0,74,46
9137.0,8,0,0,66,54
9144.0,8,0,0,72,48
9182.0,8,0,0,80,40
9196.0,8,0,0,80,40
9196.0,8,0,0,78,42
9208.0,8,0,0,78,42
9208.0,8,0,0,74,46
9233.0,8,0,0,74,46
9233.0,8,0,0,72,48
9240.0,8,0,0,72,48
9240.0,8,0,0,64,56
9265.0,8,0,0,66,54
9327.0,8,0,0,74,46
9381.0,8,0,0,74,46
9381.0,8,0,0,66,54
9421.0,8,0,0,74,46
9451.0,8,0,0,74,46
9451.0,8,0,0,66,54
9530.0,8,0,0,74,46
9541.0,8,0,0,74,46
9541.0,8,0,0,73,47
9545.0,8,0,0,74,46
9565.0,8,0,0,74,46
9565.0,8,0,0,66,54
9569.0,8,0,0,66,54
9569.0,8,0,0,50,70
9572.0,8,0,0,50,70
9572.0,8,0,0,49,71
9581.0,8,0,0,53,67
9588.0,8,0,0,55,65
9594.0,8,0,0,55,65
9594.0,8,0,0,51,69
9614.0,8,0,0,52,68
9632.0,8,0,0,52,68
9632.0,8,0,0,50,70
9636.0,8,0,0,54,66
9661.0,8,0,0,56,64
9668.0,8,0,0,64,56
9750.0,8,0,0,64,56
9750.0,8,0,0,60,60
9758.0,8,0,0,60,60
9758.0,8,0,0,59,61
9775.0,8,0,0,60,60
9780.0,8,0,0,60,60
9780.0,8,0,0,58,62
9819.0,8,0,0,74,46
9887.0,8,0,0,78,42
9892.0,8,0,0,78,42
9892.0,8,0,0,70,50
9897.0,8,0,0,80,40
9899.0,8,0,0,80,40
9899.0,8,0,0,64,56
9995.0,8,0,0,80,40
10146.0,8,0,0,80,40
10146.0,8,0,0,72,48
10175.0,8,0,0,72,48
10175.0,8,0,0,71,49
10216.0,8,0,0,72,48
10227.0,8,0,0,80,40
10231.0,8,0,0,80,40
10231.0,8,0,0,79,41
10255.0,8,0,0,80,40
10265.0,8,0,0,80,40
10265.0,8,0,0,76,44
10290.0,8,0,0,76,44
10290.0,8,0,0,74,46
10367.0,8,0,0,76,44
10368.0,8,0,0,80,40
10369.0,8,0,0,80,40
10369.0,8,0,0,72,48
10462.0,8,0,0,80,40
10496.0,8,0,0,80,40
10509.0,8,0,0,80,40
10509.0,8,0,0,72,48
10517.0,8,0,0,72,48
10517.0,8,0,24,48,48
10534.0,8,0,24,48,48
10534.0,8,0,32,40,48
10593.0,8,0,32,48,40
10826.0,8,0,32,48,40
10826.0,8,0,32,44,44
10847.0,8,0,32,44,44
10847.0,8,0,32,42,46
10919.0,8,0,32,42,46
10919.0,8,0,40,34,46
10951.0,8,0,40,40,40
11028.0,8,0,40,40,40
11028.0,8,0,40,36,44
11050.0,8,0,40,36,44
11050.0,8,0,40,34,46
11136.0,8,0,40,34,46
11136.0,8,0,40,26,54
11327.0,8,0,40,26,54
11327.0,8,0,40,22,58
11376.0,8,0,40,26,54
11441.0,8,0,40,26,54
11441.0,8,0,40,24,56
11458.0,8,0,40,26,54
11479.0,8,0,40,26,54
11479.0,8,0,40,22,58
11516.0,8,0,40,26,54
11536.0,8,0,40,26,54
11536.0,8,0,40,18,62
11555.0,8,0,40,26,54
11579.0,8,0,40,34,46
11598.0,8,0,40,34,46
11598.0,8,0,40,18,62
11660.0,8,0,40,34,46
11692.0,8,0,40,34,46
11692.0,8,0,40,2,78
11739.0,8,0,40,2,78
11842.0,8,0,40,34,46
11842.0,8,0,40,2,78
11849.0,8,0,40,2,78
11849.0,8,0,42,0,78
11883.0,8,0,42,0,78
11965.0,8,0,42,32,46
